datetime,id,value
1601521200,2,0.029
1601521200,3,0.037
1601521200,5,0.025
1601521200,6,0.002
1601521200,9,0.0
1601522100,2,0.031
1601522100,3,0.037
1601522100,5,0.007
1601522100,6,0.001
1601522100,9,0.027
1601523000,2,0.009
1601523000,3,0.038
1601523000,5,0.031
1601523000,6,0.002
1601523000,9,0.042
1601523900,2,0.023
1601523900,3,0.037
1601523900,5,0.001
1601523900,6,0.001
1601523900,9,0.004
1601524800,2,0.024
1601524800,3,0.037
1601524800,5,0.031
1601524800,6,0.002
1601524800,9,0.037
1601525700,2,0.009
1601525700,3,0.038
1601525700,5,0.007
1601525700,6,0.001
1601525700,9,0.0
1601526600,2,0.024
1601526600,3,0.038
1601526600,5,0.028
1601526600,6,0.001
1601526600,9,0.035
1601527500,2,0.022
1601527500,3,0.038
1601527500,5,0.013
1601527500,6,0.001
1601527500,9,0.037
1601528400,2,0.009
1601528400,3,0.038
1601528400,5,0.019
1601528400,6,0.001
1601528400,9,0.0
1601529300,2,0.026
1601529300,3,0.038
1601529300,5,0.015
1601529300,6,0.0
1601529300,9,0.023
1601530200,2,0.02
1601530200,3,0.037
1601530200,5,0.022
1601530200,6,0.0
1601530200,9,0.05
1601531100,2,0.011
1601531100,3,0.039
1601531100,5,0.014
1601531100,6,0.001
1601531100,9,0.0
1601532000,2,0.037
1601532000,3,0.038
1601532000,5,0.026
1601532000,6,0.0
1601532000,9,0.029
1601532900,2,0.04
1601532900,3,0.038
1601532900,5,0.007
1601532900,6,0.0
1601532900,9,0.026
1601533800,2,0.024
1601533800,3,0.038
1601533800,5,0.027
1601533800,6,0.001
1601533800,9,0.017
1601534700,2,0.044
1601534700,3,0.038
1601534700,5,0.01
1601534700,6,0.0
1601534700,9,0.038
1601535600,2,0.04
1601535600,3,0.038
1601535600,5,0.022
1601535600,6,0.0
1601535600,9,0.0
1601536500,2,0.038
1601536500,3,0.039
1601536500,5,0.02
1601536500,6,0.0
1601536500,9,0.023
1601537400,2,0.019
1601537400,3,0.038
1601537400,5,0.013
1601537400,6,0.0
1601537400,9,0.05
1601538300,2,0.029
1601538300,3,0.038
1601538300,5,0.023
1601538300,6,0.001
1601538300,9,0.0
1601539200,2,0.012
1601539200,3,0.038
1601539200,5,0.01
1601539200,6,0.0
1601539200,9,0.007
1601540100,2,0.03
1601540100,3,0.039
1601540100,5,0.025
1601540100,6,0.0
1601540100,9,0.062
1601541000,2,0.014
1601541000,3,0.038
1601541000,5,0.014
1601541000,6,0.0
1601541000,9,0.003
1601541900,2,0.02
1601541900,3,0.038
1601541900,5,0.057
1601541900,6,0.0
1601541900,9,0.017
1601542800,2,0.027
1601542800,3,0.038
1601542800,5,0.024
1601542800,6,0.0
1601542800,9,0.021
1601543700,2,0.008
1601543700,3,0.029
1601543700,5,0.017
1601543700,6,0.0
1601543700,9,0.046
1601544600,2,0.024
1601544600,3,0.0
1601544600,5,0.024
1601544600,6,0.0
1601544600,9,0.025
1601545500,2,0.021
1601545500,3,0.0
1601545500,5,0.028
1601545500,6,0.0
1601545500,9,0.012
1601546400,2,0.01
1601546400,3,0.0
1601546400,5,0.01
1601546400,6,0.0
1601546400,9,0.0
1601547300,2,0.026
1601547300,3,0.0
1601547300,5,0.031
1601547300,6,0.0
1601547300,9,0.074
1601548200,2,0.017
1601548200,3,0.0
1601548200,5,0.001
1601548200,6,0.003
1601548200,9,0.001
1601549100,2,0.013
1601549100,3,0.0
1601549100,5,0.03
1601549100,6,0.005
1601549100,9,0.001
1601550000,2,0.025
1601550000,3,0.0
1601550000,5,0.005
1601550000,6,0.006
1601550000,9,0.044
1601550900,2,0.014
1601550900,3,0.0
1601550900,5,0.027
1601550900,6,0.007
1601550900,9,0.034
1601551800,2,0.061
1601551800,3,0.0
1601551800,5,0.013
1601551800,6,0.002
1601551800,9,0.003
1601552700,2,0.028
1601552700,3,0.0
1601552700,5,0.054
1601552700,6,0.001
1601552700,9,0.047
1601553600,2,0.185
1601553600,3,0.0
1601553600,5,0.009
1601553600,6,0.001
1601553600,9,0.048
1601554500,2,0.196
1601554500,3,0.0
1601554500,5,0.016
1601554500,6,0.001
1601554500,9,0.08
1601555400,2,0.181
1601555400,3,0.0
1601555400,5,0.007
1601555400,6,0.0
1601555400,9,0.056
1601556300,2,0.194
1601556300,3,0.0
1601556300,5,0.014
1601556300,6,0.001
1601556300,9,0.023
1601557200,2,0.194
1601557200,3,0.0
1601557200,5,0.009
1601557200,6,0.001
1601557200,9,0.059
1601558100,2,0.183
1601558100,3,0.0
1601558100,5,0.01
1601558100,6,0.001
1601558100,9,0.109
1601559000,2,0.202
1601559000,3,0.0
1601559000,5,0.014
1601559000,6,0.001
1601559000,9,0.024
1601559900,2,0.23
1601559900,3,0.0
1601559900,5,0.007
1601559900,6,0.001
1601559900,9,0.052
1601560800,2,0.034
1601560800,3,0.0
1601560800,5,0.017
1601560800,6,0.0
1601560800,9,0.065
1601561700,2,0.027
1601561700,3,0.0
1601561700,5,0.003
1601561700,6,0.001
1601561700,9,0.028
1601562600,2,0.016
1601562600,3,0.0
1601562600,5,0.021
1601562600,6,0.001
1601562600,9,0.038
1601563500,2,0.015
1601563500,3,0.0
1601563500,5,0.004
1601563500,6,0.001
1601563500,9,0.006
1601564400,2,0.031
1601564400,3,0.0
1601564400,5,0.023
1601564400,6,0.0
1601564400,9,0.033
1601565300,2,0.021
1601565300,3,0.0
1601565300,5,0.015
1601565300,6,0.001
1601565300,9,0.049
1601566200,2,0.05
1601566200,3,0.0
1601566200,5,0.161
1601566200,6,0.001
1601566200,9,0.001
1601567100,2,0.048
1601567100,3,0.0
1601567100,5,0.028
1601567100,6,0.001
1601567100,9,0.039
1601568000,2,0.039
1601568000,3,0.0
1601568000,5,0.029
1601568000,6,0.001
1601568000,9,0.015
1601568900,2,0.057
1601568900,3,0.0
1601568900,5,0.006
1601568900,6,0.0
